Loc,Type,Date,Event,Title,Slides,Recording,Event Link
NJ,M,1/10/2012,HP Internal,Spring IoC,https://www.slideshare.net/bunkertor/brownbag001-spring-ioc-from-2012,,
NYC,M,8/4/2015,Redis Meetup NYC,Redis for Security Data,https://www.slideshare.net/bunkertor/redis-for-security-data-securityscorecard-jvm-redis-usage,,
NJ,M,3/22/2016,NJ Spark Meetup,Apache Spark Overview,https://www.slideshare.net/airisdata/apache-spark-overview-59903397?from_search=100,,
NJ,M,4/5/2016,NJ Spark Meetup,Parquet and AVRO,https://www.slideshare.net/airisdata/parquet-and-avro?from_search=79,,
NJ,M,4/19/2016,Hadoop Meetup,Apache Spark 1.6 with Zeppelin,https://www.slideshare.net/bunkertor/apache-spark-16-with-zeppelin-transformations-and-actions-on-rdds,,
NJ,M,7/14/2016,Future of Data Meetup Princeton,Intro to NiFi,https://www.slideshare.net/bunkertor/apache-nifi-meetup-princeton-nj-2016,,
NYC,C,3/21/2017,Oracle Code NYC,Ingesting Drone Data,https://www.slideshare.net/bunkertor/ingesting-drone-data-into-big-data-platforms,,
NJ,M,3/29/2017,Future of Data Meetup Princeton,Apache NiFi for Enterprise Data,https://www.slideshare.net/bunkertor/apache-nifi-ingesting-enterprise-data-at-scale,,
NJ,M,5/16/2017,Future of Data Meetup Princeton,Intro to Hadoop,https://www.slideshare.net/bunkertor/introduction-to-hadoop-76031567,,
NJ,M,6/20/2017,Future of Data Meetup Princeton,Intro to HDF 3.0,https://www.slideshare.net/bunkertor/introduction-to-hdf-30,,
NJ,M,8/8/2017,Future of Data Meetup Princeton,Deep Dive into HDF 3.0,https://www.slideshare.net/aldrinpiri/future-of-data-new-jersey-hdf-30-deep-dive,,
SYDNEY,C,9/20/2017,Data Works Summit Sydney,Real Time Ingestion,https://www.slideshare.net/bunkertor/realtime-ingesting-and-transforming-sensor-data-social-data-w-nifi-tensorflow,,
NJ,M,11/14/2017,Future of Data Meetup Princeton,Enterprise Data at Scale,https://www.slideshare.net/bunkertor/enterprise-data-science-at-scale-princeton-nj-14nov2017,https://www.meetup.com/futureofdata-princeton/events/244342137/,
NJ,M,2/18/2018,Future of Data Meetup Princeton,HDF 3.1 Introduction,https://www.slideshare.net/bunkertor/hdf-31-an-introduction-to-new-features,,
NJ,M,3/2/2018,Future of Data Meetup Princeton,Nifi with Spark,https://www.slideshare.net/bunkertor/running-apache-nifi-with-apache-spark-integration-options,,
Philly,C,4/5/2018,IoT Fusion Philly,Enterprise IIoT with NiFi,https://www.slideshare.net/bunkertor/enterprise-iiot-edge-processing-with-apache-nifi-92970386,,
Prague,M,4/12/2018,Future of Data Meetup Prague,Deep Learning on HDP,https://www.slideshare.net/bunkertor/deep-learning-on-hdp-2018-prague,,
Berlin,C,4/18/2018,Data Works Summit Berlin,MiNiFi and Apache NiFi IoT,https://www.slideshare.net/bunkertor/minifi-and-apache-nifi-iot-in-berlin-germany-2018,,
Berlin,C,4/19/2018,Data Works Summit Berlin,Apache Deep Learning 101,https://www.slideshare.net/bunkertor/apache-deep-learning-101-dws-berlin-2018,https://www.youtube.com/watch?v=bOfSnNVum_M&list=PL-7XqvSmQqfTEtNbnITDrgycfn3uny8LM&index=9&t=409s&ab_channel=DataWorksSummit,
Berlin,C,4/20/2018,Data Works Summit Berlin,Apache MXNet for IoT with NiFi,https://www.slideshare.net/bunkertor/apache-mxnet-for-iot-with-apache-nifi,https://www.youtube.com/watch?v=5w6rV7562xM&list=PL-7XqvSmQqfTEtNbnITDrgycfn3uny8LM&index=8&t=1497s&ab_channel=DataWorksSummit,
NYC,M,5/3/2018,NY Iot Meetup,IoT Edge Processing,https://www.slideshare.net/bunkertor/iot-edge-processing-with-apache-nifi-and-minifi-and-apache-mxnet-for-iot-ny-2018,,
Virtual,W,5/24/2018,Chariot Solutions Webinar,Enterprise IoT with NiFi,https://www.slideshare.net/bunkertor/enterprise-iiot-edge-processing-with-apache-nifi-92970386,https://www.youtube.com/watch?v=ksDKNp6Z4BE&list=PL-7XqvSmQqfTEtNbnITDrgycfn3uny8LM&index=10&t=39s&ab_channel=ChariotSolutions,
San Jose,C,6/19/2018,Data Works Summit San Jose,Open Computer Vision with OpenCV,https://www.slideshare.net/bunkertor/open-computer-vision-with-opencv-apache-nifi-tensorflow-python,https://www.youtube.com/watch?v=N0NLJo5y7RQ&list=PL-7XqvSmQqfTEtNbnITDrgycfn3uny8LM&index=14&t=1478s&ab_channel=DataWorksSummit,
